Input-Size, RandomizedQuickSort (microsec), DeterministicQuickSort (microsec)
0, 0, 0
400, 0, 0
800, 0, 0
1200, 1562, 0
1600, 1565, 0
2000, 1562, 0
2400, 0, 0
2800, 0, 0
3200, 0, 0
3600, 0, 0
4000, 0, 0
4400, 3127, 0
4800, 1565, 0
5200, 0, 0
5600, 0, 0
6000, 0, 1565
6400, 1561, 0
6800, 1565, 1565
7200, 0, 3123
7600, 0, 0
8000, 1565, 0
8400, 1565, 0
8800, 1565, 0
9200, 0, 3131
9600, 1565, 1727
10000, 0, 0
