Input-Size, RandomizedQuickSort (microsec), DeterministicQuickSort (microsec)
11, 0, 0
412, 0, 0
813, 0, 4697
1214, 0, 4188
1615, 0, 7055
2016, 0, 10949
2417, 0, 14063
2818, 0, 18751
3219, 0, 14067
3620, 0, 28113
4021, 0, 28161
4422, 0, 32052
4823, 0, 49261
5224, 0, 59312
5625, 0, 50570
6026, 0, 67639
6427, 0, 73166
6828, 0, 77444
7229, 0, 88203
7630, 0, 83822
8031, 0, 103818
8432, 0, 103752
8833, 0, 107668
9234, 0, 106216
9635, 0, 125654
