Input-Size, RandomizedQuickSort (microsec), DeterministicQuickSort (microsec)
0, 0, 0
400, 0, 0
800, 0, 0
1200, 0, 0
1600, 0, 0
2000, 0, 0
2400, 0, 1562
2800, 0, 820
3200, 0, 1562
3600, 0, 0
4000, 0, 0
4400, 0, 7803
4800, 0, 3120
5200, 0, 1562
5600, 0, 0
6000, 0, 1559
6400, 0, 2378
6800, 0, 3116
7200, 0, 1559
7600, 0, 1557
8000, 0, 1562
8400, 0, 1558
8800, 0, 2370
9200, 0, 0
9600, 0, 1562
10000, 0, 101
